time_s,requested_valve,valve,rpm,total_flow_kg_s,chamber_pressure_pa,pump_power_w,minimum_npsh_m,estopped,alarms
0.595,0.5235294117647058,0.5235294117647058,27803.310477845538,0.5500207956909936,12662081.853241794,18187.3147543211,39.33469697287713,False,
0.6,0.5294117647058824,0.5294117647058824,27811.337484025607,0.5577120652638746,12842386.384402737,18659.61792853572,39.33502712295988,False,
0.605,0.5352941176470588,0.5352941176470588,27819.03690372568,0.5654018235082277,13022505.781845314,19137.677231783884,39.335361791448314,False,
0.61,0.5411764705882353,0.5411764705882353,27826.422105927842,0.5730899378372047,13202430.123735264,19621.481509654393,39.335700969751464,False,
0.615,0.5470588235294117,0.5470588235294117,27833.505914018784,0.5807762881510139,13382150.141287748,20111.02008707186,39.33604464952501,False,
0.62,0.5529411764705883,0.5529411764705883,27840.300628055793,0.5884607660917813,13561657.188438114,20606.28275978348,39.33639282267467,False,
0.625,0.5588235294117647,0.5588235294117647,27846.818046124165,0.5961432743351088,13740943.212562757,21107.259785263053,39.33674548135856,False,
0.63,0.5647058823529412,0.5647058823529412,27853.06948482292,0.603823725916778,13920000.726231964,21613.941873111347,39.33710261798873,False,
0.635,0.5705882352941176,0.5705882352941176,27859.065798914533,0.6115020435931089,14098822.77997551,22126.320175025874,39.33746422523178,False,
0.64,0.5764705882352941,0.5764705882352941,27864.81740017272,0.6191781592335299,14277402.936040852,22644.386274407745,39.337830296008796,False,
0.645,0.5823529411764706,0.5823529411764706,27870.334275461068,0.6268520132439662,14455735.243123023,23168.13217566791,39.33820082349458,False,
0.65,0.5882352941176471,0.5882352941176471,27875.62600407384,0.6345235540197037,14633814.212044574,23697.55029329034,39.33857580111619,False,
0.655,0.5941176470588235,0.5941176470588235,27880.701774369092,0.6421927374264349,14811634.792363495,24232.63344070484,39.33895522255102,False,
0.66,0.6,0.6,27885.57039972301,0.6498595263082364,14989192.349886496,24773.374819018114,39.339339081724255,False,
0.665,0.6058823529411765,0.6058823529411765,27890.240333833095,0.6575238900212794,15166482.645064807,25319.768005647253,39.33972737280594,False,
0.67,0.611764705882353,0.611764705882353,27894.719685396885,0.6651858039921137,15343501.812249353,25871.806942896328,39.34012009020763,False,
0.675,0.6176470588235294,0.6176470588235294,27899.01623219156,0.6728452492994152,15520246.33978203,26429.485926513004,39.340517228578605,False,
0.68,0.6235294117647059,0.6235294117647059,27903.137434578988,0.680502212278124,15696713.05089975,26992.799594258606,39.34091878280188,False,
0.685,0.6294117647058824,0.6294117647058824,27907.09044845962,0.688156684144946,15872899.085427897,27561.74291452214,39.34132474798978,False,
0.6900000000000001,0.6352941176470589,0.6352941176470589,27910.88213769773,0.6958086606442289,16048801.882239912,28136.311175005732,39.34173511947941,False,
